id,nombre,horasTrabajadas,sueldo
9,Dita,80,14400
10,Euell,99,17820
13,Haze,88,15840
14,Averil,99,17820
17,Raffaello,84,15120
22,Binny,84,15120
24,Shae,104,18720
25,Bordy,96,17280
28,Michele,88,15840
30,Ginnifer,105,18900
32,Coral,81,14580
36,,103,18540
41,Anderea,80,14400
42,Demetria,108,19440
45,Egor,83,14940
47,Morten,95,17100
49,Franzen,83,14940
62,Rowan,110,19800
67,Deidre,95,17100
70,Wilone,102,18360
71,Milzie,92,16560
72,Dorisa,100,18000
81,Zebedee,97,17460
85,Benetta,111,19980
86,Papageno,96,17280
89,Launce,99,17820
101,Nicko,94,16920
102,Bruce,83,14940
104,Hyacinthe,106,19080
107,Germaine,86,15480
111,Hadleigh,110,19800
115,Louisette,95,17100
116,Merna,99,17820
121,Pembroke,106,19080
126,Lyn,105,18900
133,Marv,106,19080
142,Yelena,107,19260
147,Patience,100,18000
151,Durant,91,16380
156,Herb,81,14580
164,Ralph,88,15840
166,Norma,107,19260
168,Alix,105,18900
169,Laurie,86,15480
172,Emmy,80,14400
176,Ranice,104,18720
177,Robyn,103,18540
179,Gordon,109,19620
182,Rae,99,17820
188,Colman,105,18900
189,Jojo,98,17640
193,Otho,107,19260
195,Eddy,94,16920
198,Alyss,80,14400
203,Kacie,85,15300
205,Elita,95,17100
237,Rhetta,98,17640
238,Allister,90,16200
244,Jenn,92,16560
252,Tersina,105,18900
265,Yank,94,16920
267,Sig,83,14940
268,Anastasia,98,17640
272,Marven,96,17280
277,Brooks,83,14940
292,Walker,84,15120
295,Shirline,103,18540
298,Rosabella,104,18720
301,Roseanne,94,16920
303,Pamella,80,14400
305,Wesley,80,14400
307,Derril,102,18360
324,Netta,92,16560
327,Veronica,85,15300
328,Betti,108,19440
354,Eyde,106,19080
359,Nollie,97,17460
360,Dilan,104,18720
363,Christos,94,16920
367,Chad,100,18000
370,Pen,96,17280
372,Arabela,100,18000
386,Manuel,104,18720
390,Galvin,92,16560
395,Tasia,105,18900
398,Vick,109,19620
400,Junette,93,16740
411,Torre,87,15660
416,Duffie,94,16920
418,Demetri,107,19260
420,Madison,108,19440
431,Arlan,82,14760
446,Zelda,108,19440
455,Chauncey,87,15660
461,Hill,108,19440
463,Eimile,90,16200
474,Sorcha,93,16740
475,Shandee,102,18360
478,Chrysler,100,18000
486,Tarrah,82,14760
492,Earlie,104,18720
494,Bentley,109,19620
495,Horatia,106,19080
496,Rosamund,101,18180
502,Del,105,18900
503,Anthiathia,91,16380
506,Rowen,104,18720
521,Sigfrid,109,19620
530,Minni,110,19800
538,Claudius,106,19080
540,Dyan,91,16380
546,Sigismund,106,19080
552,Ginger,84,15120
554,Angeli,109,19620
555,Wallache,100,18000
559,Karisa,102,18360
576,Robert,101,18180
588,Lombard,110,19800
595,Newton,111,19980
599,Archibald,100,18000
604,Chiquita,90,16200
607,Axe,90,16200
612,Dannie,94,16920
613,Gusty,95,17100
621,Eirena,85,15300
622,Tracee,80,14400
626,Kristian,103,18540
638,Dorolisa,107,19260
645,Terese,107,19260
648,Biron,81,14580
653,Killian,86,15480
655,Skippy,96,17280
657,Jake,99,17820
659,Ange,99,17820
677,Aloin,110,19800
685,Clevey,102,18360
688,Brunhilde,80,14400
691,Clarinda,95,17100
694,Chrisse,99,17820
698,Bliss,96,17280
701,Hagen,104,18720
710,Anneliese,80,14400
724,Cammy,87,15660
733,Randi,106,19080
734,Jodi,81,14580
740,Georgi,109,19620
745,Liana,93,16740
758,Read,91,16380
759,Filmore,86,15480
761,Dolph,103,18540
764,Jo,102,18360
768,Janela,102,18360
774,Corey,89,16020
782,Marlowe,96,17280
783,Melisenda,105,18900
786,Ly,85,15300
791,Molli,81,14580
799,Rhea,82,14760
804,Bartie,92,16560
816,Wynnie,104,18720
824,Cordy,94,16920
830,Natividad,88,15840
836,Bertine,95,17100
841,Juliann,102,18360
842,Sarah,90,16200
843,Berkly,108,19440
847,Noe,97,17460
848,Giulio,96,17280
853,Colas,99,17820
861,Anthia,108,19440
869,Benni,84,15120
880,Mortimer,105,18900
888,Shay,86,15480
899,Yuri,82,14760
904,Meghann,96,17280
906,Reinald,102,18360
909,Edik,108,19440
925,Tiena,95,17100
931,Allyson,91,16380
933,Rafferty,87,15660
943,Westleigh,88,15840
945,Noe,105,18900
953,Burr,102,18360
961,Garik,97,17460
962,Cookie,100,18000
965,Bryna,102,18360
969,Normand,109,19620
971,Seumas,96,17280
978,Jenelle,110,19800
980,Francisco,85,15300
983,Anthia,84,15120
987,Marlane,92,16560
988,Tybie,109,19620
990,Karoly,85,15300
995,Tabbie,110,19800
999,Lauralee,95,17100
